Variable Name	Variable Description	Data File Name	Data File Description	Begin Year	EndYear	Component	Use Constraints
WTM1YR04	1 Year MEC Weight - Jackknife replicate weight 04	HEPC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2016	2016	2016	Laboratory	RDC Only
WTM1YR05	1 Year MEC Weight - Jackknife replicate weight 05	HEPC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2016	2016	2016	Laboratory	RDC Only
WTM1YR06	1 Year MEC Weight - Jackknife replicate weight 06	HEPC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2016	2016	2016	Laboratory	RDC Only
WTM1YR07	1 Year MEC Weight - Jackknife replicate weight 07	HEPC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2016	2016	2016	Laboratory	RDC Only
WTM1YR08	1 Year MEC Weight - Jackknife replicate weight 08	HEPC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2016	2016	2016	Laboratory	RDC Only
WTM1YR09	1 Year MEC Weight - Jackknife replicate weight 09	HEPC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2016	2016	2016	Laboratory	RDC Only
WTM1YR10	1 Year MEC Weight - Jackknife replicate weight 10	HEPC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2016	2016	2016	Laboratory	RDC Only
WTM1YR11	1 Year MEC Weight - Jackknife replicate weight 11	HEPC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2016	2016	2016	Laboratory	RDC Only
WTM1YR12	1 Year MEC Weight - Jackknife replicate weight 12	HEPC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2016	2016	2016	Laboratory	RDC Only
WTM1YR13	1 Year MEC Weight - Jackknife replicate weight 13	HEPC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2016	2016	2016	Laboratory	RDC Only
WTM1YR14	1 Year MEC Weight - Jackknife replicate weight 14	HEPC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2016	2016	2016	Laboratory	RDC Only
WTM1YR15	1 Year MEC Weight - Jackknife replicate weight 15	HEPC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2016	2016	2016	Laboratory	RDC Only
WTMEC1YR	Full Sample 1 Year MEC Exam Weight	HEPC_I_R	Hepatitis C: Confirmed Antibody (INNO-LIA) - 2016	2016	2016	Laboratory	RDC Only
LBDBCOLC	Cobalt comment code	CRCO_I	Chromium & Cobalt	2015	2016	Laboratory	None
LBDBCOSI	Cobalt (nmol/L)	CRCO_I	Chromium & Cobalt	2015	2016	Laboratory	None
LBDBCRLC	Chromium comment code	CRCO_I	Chromium & Cobalt	2015	2016	Laboratory	None
LBDBCRSI	Chromium (nmol/L)	CRCO_I	Chromium & Cobalt	2015	2016	Laboratory	None
LBXBCO	Cobalt (ug/L)	CRCO_I	Chromium & Cobalt	2015	2016	Laboratory	None
LBXBCR	Chromium (ug/L)	CRCO_I	Chromium & Cobalt	2015	2016	Laboratory	None
SEQN	Respondent sequence number.	CRCO_I	Chromium & Cobalt	2015	2016	Laboratory	None
LBXHIV1	HIV-1 antibody	HIV_I	HIV Antibody Test	2015	2016	Laboratory	None
LBXHIV2	HIV-2 antibody	HIV_I	HIV Antibody Test	2015	2016	Laboratory	None
LBXHIVC	HIV-1, 2 Combo Test	HIV_I	HIV Antibody Test	2015	2016	Laboratory	None
LBXHNAT	HIV Confirmatory Test	HIV_I	HIV Antibody Test	2015	2016	Laboratory	None
SEQN	Respondent sequence number	HIV_I	HIV Antibody Test	2015	2016	Laboratory	None
SEQN	Respondent sequence number.	UMS_I	Metals - Urine - Special Sample	2015	2016	Laboratory	None
URDUBALC	Urinary Barium Comment Code	UMS_I	Metals - Urine - Special Sample	2015	2016	Laboratory	None
URDUCDLC	Urinary Cadmium Comment Code	UMS_I	Metals - Urine - Special Sample	2015	2016	Laboratory	None
URDUCOLC	Urinary Cobalt Comment Code	UMS_I	Metals - Urine - Special Sample	2015	2016	Laboratory	None
URDUCSLC	Urinary Cesium Comment Code	UMS_I	Metals - Urine - Special Sample	2015	2016	Laboratory	None
URDUMNLC	Urinary Mn Comment Code	UMS_I	Metals - Urine - Special Sample	2015	2016	Laboratory	None
URDUMOLC	Urinary Molybdenum Comment Code	UMS_I	Metals - Urine - Special Sample	2015	2016	Laboratory	None
URDUPBLC	Urinary Lead Comment Code	UMS_I	Metals - Urine - Special Sample	2015	2016	Laboratory	None
URDUSBLC	Urinary Antimony Comment Code	UMS_I	Metals - Urine - Special Sample	2015	2016	Laboratory	None
URDUSNLC	USN Comment Code	UMS_I	Metals - Urine - Special Sample	2015	2016	Laboratory	None
URDUSRLC	USR Comment Code	UMS_I	Metals - Urine - Special Sample	2015	2016	Laboratory	None
URDUTLLC	Urinary Thallium Comment Code	UMS_I	Metals - Urine - Special Sample	2015	2016	Laboratory	None
URDUTULC	Urinary Tungsten Comment Code	UMS_I	Metals - Urine - Special Sample	2015	2016	Laboratory	None
